boundary_id,date,bin,n
10_13,2024-04-13,-1975,0
10_13,2024-04-13,-1925,0
10_13,2024-04-13,-1875,1
10_13,2024-04-13,-1825,0
10_13,2024-04-13,-1775,1
10_13,2024-04-13,-1725,0
10_13,2024-04-13,-1675,0
10_13,2024-04-13,-1625,0
10_13,2024-04-13,-1575,0
10_13,2024-04-13,-1525,0
10_13,2024-04-13,-1475,1
10_13,2024-04-13,-1425,1
10_13,2024-04-13,-1375,0
10_13,2024-04-13,-1325,0
10_13,2024-04-13,-1275,0
10_13,2024-04-13,-1225,0
10_13,2024-04-13,-1175,0
10_13,2024-04-13,-1125,1
10_13,2024-04-13,-1075,0
10_13,2024-04-13,-1025,0
10_13,2024-04-13,-975,0
10_13,2024-04-13,-925,1
10_13,2024-04-13,-875,0
10_13,2024-04-13,-825,0
10_13,2024-04-13,-775,0
10_13,2024-04-13,-725,0
10_13,2024-04-13,-675,0
10_13,2024-04-13,-625,0
10_13,2024-04-13,-575,0
10_13,2024-04-13,-525,0
10_13,2024-04-13,-475,0
10_13,2024-04-13,-425,0
10_13,2024-04-13,-375,0
10_13,2024-04-13,-325,0
10_13,2024-04-13,-275,0
10_13,2024-04-13,-225,0
10_13,2024-04-13,-175,0
10_13,2024-04-13,-125,0
10_13,2024-04-13,-75,0
10_13,2024-04-13,-25,0
10_13,2024-04-13,25,0
10_13,2024-04-13,75,0
10_13,2024-04-13,125,0
10_13,2024-04-13,175,0
10_13,2024-04-13,225,0
10_13,2024-04-13,275,0
10_13,2024-04-13,325,0
10_13,2024-04-13,375,0
10_13,2024-04-13,425,0
10_13,2024-04-13,475,0
10_13,2024-04-13,525,0
10_13,2024-04-13,575,0
10_13,2024-04-13,625,0
10_13,2024-04-13,675,2
10_13,2024-04-13,725,0
10_13,2024-04-13,775,0
10_13,2024-04-13,825,0
10_13,2024-04-13,875,0
10_13,2024-04-13,925,1
10_13,2024-04-13,975,0
10_13,2024-04-13,1025,1
10_13,2024-04-13,1075,0
10_13,2024-04-13,1125,0
10_13,2024-04-13,1175,0
10_13,2024-04-13,1225,0
10_13,2024-04-13,1275,0
10_13,2024-04-13,1325,0
10_13,2024-04-13,1375,0
10_13,2024-04-13,1425,0
10_13,2024-04-13,1475,0
10_13,2024-04-13,1525,0
10_13,2024-04-13,1575,0
10_13,2024-04-13,1625,0
10_13,2024-04-13,1675,0
10_13,2024-04-13,1725,0
10_13,2024-04-13,1775,0
10_13,2024-04-13,1825,0
10_13,2024-04-13,1875,0
10_13,2024-04-13,1925,0
10_13,2024-04-13,1975,0
10_13,2024-04-19,-1975,0
10_13,2024-04-19,-1925,0
10_13,2024-04-19,-1875,0
10_13,2024-04-19,-1825,0
