date,bin_center,n_crimes,treated,side
2024-04-11,-1950,1,1,Treated (water rationing)
2024-04-11,-1850,1,1,Treated (water rationing)
2024-04-11,-1800,1,1,Treated (water rationing)
2024-04-11,-1500,1,1,Treated (water rationing)
2024-04-11,-1450,4,1,Treated (water rationing)
2024-04-11,-1300,1,1,Treated (water rationing)
2024-04-11,-1200,1,1,Treated (water rationing)
2024-04-11,-1000,1,1,Treated (water rationing)
2024-04-11,-850,3,1,Treated (water rationing)
2024-04-11,-800,3,1,Treated (water rationing)
2024-04-11,-700,1,1,Treated (water rationing)
2024-04-11,-650,3,1,Treated (water rationing)
2024-04-11,-600,2,1,Treated (water rationing)
2024-04-11,-550,1,1,Treated (water rationing)
2024-04-11,-450,3,1,Treated (water rationing)
2024-04-11,-300,2,1,Treated (water rationing)
2024-04-11,-50,2,1,Treated (water rationing)
2024-04-11,-0,2,1,Control (no rationing)
2024-04-11,100,2,0,Control (no rationing)
2024-04-11,150,1,0,Control (no rationing)
2024-04-11,300,3,0,Control (no rationing)
2024-04-11,350,1,0,Control (no rationing)
2024-04-11,400,1,0,Control (no rationing)
2024-04-11,450,3,0,Control (no rationing)
2024-04-11,500,1,0,Control (no rationing)
2024-04-11,550,1,0,Control (no rationing)
2024-04-11,600,1,0,Control (no rationing)
2024-04-11,700,1,0,Control (no rationing)
2024-04-11,750,1,0,Control (no rationing)
2024-04-11,900,3,0,Control (no rationing)
2024-04-11,950,1,0,Control (no rationing)
2024-04-11,1000,4,0,Control (no rationing)
2024-04-11,1050,4,0,Control (no rationing)
2024-04-11,1150,1,0,Control (no rationing)
2024-04-11,1250,1,0,Control (no rationing)
2024-04-11,1300,1,0,Control (no rationing)
2024-04-11,1450,1,0,Control (no rationing)
2024-04-11,1500,2,0,Control (no rationing)
2024-04-11,1600,1,0,Control (no rationing)
2024-04-11,1700,3,0,Control (no rationing)
2024-04-11,1750,1,0,Control (no rationing)
2024-04-11,1800,1,0,Control (no rationing)
2024-04-11,1950,2,0,Control (no rationing)
2024-04-11,2100,1,0,Control (no rationing)
2024-04-11,2150,1,0,Control (no rationing)
2024-04-11,2300,1,0,Control (no rationing)
2024-04-11,2450,2,0,Control (no rationing)
2024-04-11,2500,2,0,Control (no rationing)
2024-04-11,2650,3,0,Control (no rationing)
2024-04-11,2850,4,0,Control (no rationing)
2024-04-11,2900,2,0,Control (no rationing)
2024-04-11,2950,2,0,Control (no rationing)
2024-04-11,3050,1,0,Control (no rationing)
2024-04-11,3350,2,0,Control (no rationing)
2024-04-11,3400,1,0,Control (no rationing)
2024-04-11,3600,1,0,Control (no rationing)
2024-04-11,3700,1,0,Control (no rationing)
2024-04-11,3800,2,0,Control (no rationing)
2024-04-11,3850,1,0,Control (no rationing)
2024-04-11,3900,1,0,Control (no rationing)
2024-04-11,3950,2,0,Control (no rationing)
2024-04-11,4000,3,0,Control (no rationing)
2024-04-11,4050,1,0,Control (no rationing)
2024-04-11,4150,1,0,Control (no rationing)
2024-04-11,4250,3,0,Control (no rationing)
2024-04-11,4300,1,0,Control (no rationing)
2024-04-11,4350,2,0,Control (no rationing)
2024-04-11,4400,4,0,Control (no rationing)
2024-04-11,4450,2,0,Control (no rationing)
2024-04-11,4500,1,0,Control (no rationing)
2024-04-11,4650,2,0,Control (no rationing)
2024-04-11,4750,1,0,Control (no rationing)
2024-04-11,4950,1,0,Control (no rationing)
2024-04-11,5000,1,0,Control (no rationing)
2024-04-11,5050,3,0,Control (no rationing)
2024-04-11,5250,2,0,Control (no rationing)
2024-04-11,5300,2,0,Control (no rationing)
2024-04-11,5350,3,0,Control (no rationing)
2024-04-11,5400,1,0,Control (no rationing)
2024-04-11,5450,1,0,Control (no rationing)
2024-04-11,5500,2,0,Control (no rationing)
2024-04-11,5550,3,0,Control (no rationing)
2024-04-11,5600,1,0,Control (no rationing)
2024-04-11,5650,1,0,Control (no rationing)
2024-04-11,5700,1,0,Control (no rationing)
2024-04-11,5850,2,0,Control (no rationing)
2024-04-11,5900,1,0,Control (no rationing)
2024-04-11,6050,2,0,Control (no rationing)
2024-04-11,6100,2,0,Control (no rationing)
2024-04-11,6250,3,0,Control (no rationing)
2024-04-11,6300,1,0,Control (no rationing)
2024-04-11,6350,1,0,Control (no rationing)
2024-04-11,6450,1,0,Control (no rationing)
2024-04-11,6500,3,0,Control (no rationing)
2024-04-11,6550,1,0,Control (no rationing)
2024-04-11,6750,1,0,Control (no rationing)
2024-04-11,6800,2,0,Control (no rationing)
2024-04-11,6850,1,0,Control (no rationing)
2024-04-11,6900,3,0,Control (no rationing)
2024-04-11,6950,1,0,Control (no rationing)
2024-04-11,7050,2,0,Control (no rationing)
2024-04-11,7100,1,0,Control (no rationing)
2024-04-11,7200,2,0,Control (no rationing)
2024-04-11,7350,1,0,Control (no rationing)
2024-04-11,7400,2,0,Control (no rationing)
2024-04-11,7550,1,0,Control (no rationing)
2024-04-11,7600,1,0,Control (no rationing)
2024-04-11,7650,1,0,Control (no rationing)
2024-04-11,7750,1,0,Control (no rationing)
2024-04-11,7800,1,0,Control (no rationing)
2024-04-11,7850,2,0,Control (no rationing)
2024-04-11,7900,1,0,Control (no rationing)
2024-04-11,8000,1,0,Control (no rationing)
2024-04-11,8050,1,0,Control (no rationing)
2024-04-11,8150,1,0,Control (no rationing)
2024-04-11,8250,3,0,Control (no rationing)
2024-04-11,8300,1,0,Control (no rationing)
2024-04-11,8500,3,0,Control (no rationing)
2024-04-11,8550,1,0,Control (no rationing)
