crime_id,date,polygon_id,shift_id,treated,boundary_id,boundary_distance,running_var,treated_polygon_id,control_polygon_id,x_magna_m,y_magna_m,is_duplicate_record,in_estimation_sample,within_distance_screen,treated_side,abs_distance_m,log_distance_m,distance_km
SUR-00764962-24,2024-04-29,1,8,0,1_8,7.201697435395096,7.201697435395096,8,1,1005234.3802450408,1009974.5736584688,0,0,1,control,7.201697435395096,2.104341137164245,0.007201697435395
SUR-01524799-24,2024-08-24,1,8,0,1_8,7.201697435395096,7.201697435395096,8,1,1005234.3802450408,1009974.5736584688,0,0,1,control,7.201697435395096,2.104341137164245,0.007201697435395
SUR-01980056-24,2024-10-28,1,8,0,1_10,1353.3002101211252,1353.3002101211252,10,1,1005623.6037469468,1010031.274728598,0,1,1,control,1353.3002101211252,7.211040149812407,1.3533002101211251
SUR-00610341-25,2025-04-05,1,8,0,1_10,1392.35251585635,1392.35251585635,10,1,1005234.3802450408,1009974.5736584688,0,1,1,control,1392.35251585635,7.23946800411694,1.39235251585635
SUR-00776884-24,2024-05-01,1,8,0,1_10,468.11358965511215,468.11358965511215,10,1,1005309.7221478596,1010896.0571767258,0,1,1,control,468.11358965511215,6.15084493454838,0.4681135896551121
SUR-00304474-25,2025-02-19,1,8,0,1_10,581.2336759727067,581.2336759727067,10,1,1005269.7073675388,1010787.7116491582,0,1,1,control,581.2336759727067,6.366871872257574,0.5812336759727067
SUR-01138602-24,2024-06-24,1,8,0,1_10,267.1576325917949,267.1576325917949,10,1,1005387.3102648105,1011093.8771382696,0,1,1,control,267.1576325917949,5.591574988912694,0.2671576325917948
SUR-01138604-24,2024-06-24,1,8,0,1_10,267.1576325917949,267.1576325917949,10,1,1005387.3102648105,1011093.8771382696,0,1,1,control,267.1576325917949,5.591574988912694,0.2671576325917948
SUR-01632138-24,2024-09-07,1,8,1,1_8,0.0397860770128014,-0.0397860770128014,1,8,1005366.841822531,1011039.9334963656,0,0,1,treated,0.0397860770128014,0.0390149968151276,-3.978607701280143e-05
SUR-00658597-25,2025-04-12,1,8,0,1_8,0.1591736792384224,0.1591736792384224,8,1,1005377.454152482,1011086.222649066,0,0,1,control,0.1591736792384224,0.147707405795556,0.00015917367923842243
SUR-00585049-25,2025-04-01,1,8,1,1_8,81.68732605801033,-81.68732605801033,1,8,1005478.9425951988,1010241.78438232,0,0,1,treated,81.68732605801033,4.415066338266133,-0.0816873260580103
