boundary_id,tau,se,z,p_ri,n_incidents
10_13,0.032571059250011976,0.03664917865420797,0.8887254897940869,0.364605,701
11_12,-0.01735512130286372,0.05034556908362579,-0.3447199350162523,0.73012,336
1_10,-0.10878376137184056,0.06939587990380686,-1.5675824202046469,0.103205,697
1_13,-0.1351532545366839,0.05569936180715223,-2.426477613955878,0.00408,406
2_8,-0.014086390729730836,0.11265254656238131,-0.1250428078155384,0.89176,2918
3_11,0.22793911049323878,0.10450772811962047,2.181074209481787,0.03901,4082
3_12,0.0222961035091329,0.04473694581312963,0.49838233486626,0.63978,1487
5_10,-0.04389868166139105,0.0865587554749652,-0.5071547230607719,0.62148,1588
5_9,0.06198297657029442,0.08053754241354835,0.7696159419916369,0.488275,2637
8_10,0.053630584859273245,0.05835566528664117,0.9190296194181237,0.35786,742
8_11,0.21930898077652208,0.09622528396935358,2.2791201203040248,0.046625,1827
8_12,-0.060698126564527666,0.05828209225870682,-1.0414541450416086,0.264865,867
8_9,-0.01660497886793609,0.04658166853786473,-0.3564702465399761,0.70924,643
9_10,-2.3592927846799363e-4,0.00933586306369605,-0.0252712873848205,0.974735,407
9_12,0.04996729535027189,0.05980594576602713,0.8354904300945927,0.37503,1189
