dropped,tau,se
5_9,-0.02578310796482929,0.057726321489616914
3_11,-0.0053094451025167706,0.060152844942145144
5_10,-0.03033093179239717,0.058363877760469106
11_12,-0.045167131525962224,0.0568455350840065
9_10,-0.04104153028529611,0.05715047227925494
1_10,-0.054972277459566496,0.058038019032082146
1_13,-0.0423981488813638,0.05720087631186082
2_8,-0.06213394827115891,0.059927924483271014
3_12,-0.058134246809285556,0.06003046915231492
8_10,-0.05104362988547602,0.05857721356456812
9_12,-0.050965886278840015,0.05864166862257478
8_9,-0.04685984914665125,0.0606736124278394
8_12,-0.048249901886123,0.05931179423677216
8_11,-0.04814373369374234,0.05952551973228803
10_13,-0.04732182922441475,0.058897890377126394
